parent,state_code,state,category,term,state_percentage,state_percentage_label,state_term_percentage_label,state_term_percentage
"",All,All,origin,origin,0,"","",0
origin,All,All,Education,skills & training,0.0223,2.23%,13.53%,0.1353
origin,All,All,Education,screening & exams,0.0223,2.23%,1.44%,0.0144
origin,All,All,Education,education,0.0223,2.23%,2.03%,0.0203
origin,All,All,Education,tutoring,0.0223,2.23%,3.19%,0.0319
origin,All,All,Education,specialized training,0.0223,2.23%,8.53%,0.0853
origin,All,All,Education,computer class,0.0223,2.23%,4.89%,0.0489
origin,All,All,Education,basic literacy,0.0223,2.23%,1.29%,0.0129
origin,All,All,Education,ged/high-school equivalency,0.0223,2.23%,6.77%,0.0677
origin,All,All,Education,special education,0.0223,2.23%,1.89%,0.0189
origin,All,All,Education,skills assessment,0.0223,2.23%,1.44%,0.0144
origin,All,All,Education,supported employment,0.0223,2.23%,9.24%,0.0924
origin,All,All,Education,alternative education,0.0223,2.23%,2.22%,0.0222
origin,All,All,Education,english as a second language (esl),0.0223,2.23%,19.56%,0.1956
origin,All,All,Education,more education,0.0223,2.23%,16.03%,0.1603
origin,All,All,Education,help find school,0.0223,2.23%,3.41%,0.0341
origin,All,All,Legal,mediation,0.0113,1.13%,3.54%,0.0354
origin,All,All,Legal,advocacy & legal aid,0.0113,1.13%,30.91%,0.3091
origin,All,All,Legal,representation,0.0113,1.13%,19.25%,0.1925
origin,All,All,Legal,translation & interpretation,0.0113,1.13%,4.93%,0.0493
origin,All,All,Legal,legal aid,0.0113,1.13%,1.03%,0.0103
origin,All,All,Legal,guardianship,0.0113,1.13%,1.91%,0.0191
origin,All,All,Legal,identification recovery,0.0113,1.13%,3.28%,0.0328
origin,All,All,Legal,citizenship & immigration,0.0113,1.13%,16.95%,0.1695
origin,All,All,Legal,workplace rights,0.0113,1.13%,4.35%,0.0435
origin,All,All,Legal,notary,0.0113,1.13%,1.44%,0.0144
origin,All,All,Legal,legal,0.0113,1.13%,3.07%,0.0307
origin,All,All,Legal,discrimination & civil rights,0.0113,1.13%,4.76%,0.0476
origin,All,All,Care,physical safety,0.0533,5.33%,1.69%,0.0169
origin,All,All,Care,peer support,0.0533,5.33%,1.25%,0.0125
origin,All,All,Care,residential care,0.0533,5.33%,1.91%,0.0191
origin,All,All,Care,after school care,0.0533,5.33%,1.03%,0.0103
origin,All,All,Care,support network,0.0533,5.33%,14.49%,0.1449
origin,All,All,Care,burial & funeral help,0.0533,5.33%,4.66%,0.0466
origin,All,All,Care,childcare,0.0533,5.33%,2.6%,0.026
origin,All,All,Care,mentoring,0.0533,5.33%,1.62%,0.0162
origin,All,All,Care,support groups,0.0533,5.33%,18.98%,0.1898
origin,All,All,Care,head start,0.0533,5.33%,2.36%,0.0236
origin,All,All,Care,navigating the system,0.0533,5.33%,6.4%,0.064
origin,All,All,Care,adoption & foster care,0.0533,5.33%,1.17%,0.0117
origin,All,All,Care,recreation,0.0533,5.33%,1.47%,0.0147
origin,All,All,Care,day camp,0.0533,5.33%,1.09%,0.0109
origin,All,All,Care,animal welfare,0.0533,5.33%,8.31%,0.0831
origin,All,All,Care,care,0.0533,5.33%,2.62%,0.0262
origin,All,All,Care,relief for caregivers,0.0533,5.33%,1.64%,0.0164
origin,All,All,Care,bereavement,0.0533,5.33%,4.08%,0.0408
origin,All,All,Care,preschool,0.0533,5.33%,1.68%,0.0168
origin,All,All,Care,adult daycare,0.0533,5.33%,2.53%,0.0253
origin,All,All,Care,daytime care,0.0533,5.33%,2.41%,0.0241
origin,All,All,Care,case management,0.0533,5.33%,2.26%,0.0226
origin,All,All,Transit,transportation,0.048,4.8%,42.9%,0.429
origin,All,All,Transit,help pay for transit,0.048,4.8%,9.01%,0.0901
origin,All,All,Transit,transportation for healthcare,0.048,4.8%,21.49%,0.2149
origin,All,All,Transit,help pay for gas,0.048,4.8%,11.99%,0.1199
origin,All,All,Transit,bus passes,0.048,4.8%,8.89%,0.0889
origin,All,All,Transit,transit,0.048,4.8%,1.08%,0.0108
origin,All,All,Work,employment,0.0094,0.94%,1.3%,0.013
origin,All,All,Work,interview training,0.0094,0.94%,1.74%,0.0174
origin,All,All,Work,work,0.0094,0.94%,4.9%,0.049
origin,All,All,Work,help find work,0.0094,0.94%,35.41%,0.3541
origin,All,All,Work,resume development,0.0094,0.94%,2.66%,0.0266
origin,All,All,Work,job placement,0.0094,0.94%,49.47%,0.4947
origin,All,All,Other,"food pantry, food delivery, emergency food, nutrition education, transportation, medical supplies, medical safety, help find housing, housing advice, maintenance & repair, residential housing, addiction & recovery, mental health care, end of life car",0.3097,30.97%,2.06%,0.0206
origin,All,All,Other,other,0.3097,30.97%,76.28%,0.7628
origin,All,All,Food,meals,0.1316,13.16%,6.52%,0.0652
origin,All,All,Food,government food benefits,0.1316,13.16%,4.42%,0.0442
origin,All,All,Food,community gardens,0.1316,13.16%,1.12%,0.0112
origin,All,All,Food,food delivery,0.1316,13.16%,10.65%,0.1065
origin,All,All,Food,emergency food,0.1316,13.16%,7.18%,0.0718
origin,All,All,Food,food,0.1316,13.16%,2.37%,0.0237
origin,All,All,Food,help pay for food,0.1316,13.16%,6.52%,0.0652
origin,All,All,Food,food pantry,0.1316,13.16%,55.98%,0.5598
origin,All,All,Food,nutrition education,0.1316,13.16%,1.68%,0.0168
origin,All,All,Food,pantry,0.1316,13.16%,2.03%,0.0203
origin,All,All,Goods,baby clothes,0.0479,4.79%,2.31%,0.0231
origin,All,All,Goods,baby supplies,0.0479,4.79%,8.26%,0.0826
origin,All,All,Goods,support & service animals,0.0479,4.79%,1.79%,0.0179
origin,All,All,Goods,blankets & fans,0.0479,4.79%,1.05%,0.0105
origin,All,All,Goods,assistive technology,0.0479,4.79%,2.2%,0.022
origin,All,All,Goods,home goods,0.0479,4.79%,4.38%,0.0438
origin,All,All,Goods,toys & gifts,0.0479,4.79%,11.88%,0.1188
origin,All,All,Goods,supplies for school,0.0479,4.79%,2.49%,0.0249
origin,All,All,Goods,clothes for school,0.0479,4.79%,1.23%,0.0123
origin,All,All,Goods,personal care items,0.0479,4.79%,4.1%,0.041
origin,All,All,Goods,personal safety,0.0479,4.79%,2.53%,0.0253
origin,All,All,Goods,diapers & formula,0.0479,4.79%,10.7%,0.107
origin,All,All,Goods,clothing,0.0479,4.79%,23.67%,0.2367
origin,All,All,Goods,clothes for work,0.0479,4.79%,1.45%,0.0145
origin,All,All,Goods,efficient appliances,0.0479,4.79%,1.83%,0.0183
origin,All,All,Goods,furniture,0.0479,4.79%,10.92%,0.1092
