parent,state_code,state,category,term,state_percentage,state_percentage_label,state_term_percentage_label,state_term_percentage
"",All,All,origin,origin,0,"","",0
origin,All,All,Legal,legal aid,0.0148,1.48%,1.03%,0.0103
origin,All,All,Legal,workplace rights,0.0148,1.48%,4.35%,0.0435
origin,All,All,Legal,citizenship & immigration,0.0148,1.48%,16.95%,0.1695
origin,All,All,Legal,notary,0.0148,1.48%,1.44%,0.0144
origin,All,All,Legal,legal,0.0148,1.48%,3.07%,0.0307
origin,All,All,Legal,discrimination & civil rights,0.0148,1.48%,4.76%,0.0476
origin,All,All,Legal,identification recovery,0.0148,1.48%,3.28%,0.0328
origin,All,All,Legal,guardianship,0.0148,1.48%,1.91%,0.0191
origin,All,All,Legal,representation,0.0148,1.48%,19.25%,0.1925
origin,All,All,Legal,advocacy & legal aid,0.0148,1.48%,30.91%,0.3091
origin,All,All,Legal,mediation,0.0148,1.48%,3.54%,0.0354
origin,All,All,Legal,translation & interpretation,0.0148,1.48%,4.93%,0.0493
origin,All,All,Work,employment,0.0123,1.23%,1.3%,0.013
origin,All,All,Work,job placement,0.0123,1.23%,49.47%,0.4947
origin,All,All,Work,resume development,0.0123,1.23%,2.66%,0.0266
origin,All,All,Work,help find work,0.0123,1.23%,35.41%,0.3541
origin,All,All,Work,work,0.0123,1.23%,4.9%,0.049
origin,All,All,Work,interview training,0.0123,1.23%,1.74%,0.0174
origin,All,All,Education,ged/high-school equivalency,0.0292,2.92%,6.77%,0.0677
origin,All,All,Education,skills & training,0.0292,2.92%,13.53%,0.1353
origin,All,All,Education,screening & exams,0.0292,2.92%,1.44%,0.0144
origin,All,All,Education,alternative education,0.0292,2.92%,2.22%,0.0222
origin,All,All,Education,supported employment,0.0292,2.92%,9.24%,0.0924
origin,All,All,Education,english as a second language (esl),0.0292,2.92%,19.56%,0.1956
origin,All,All,Education,more education,0.0292,2.92%,16.03%,0.1603
origin,All,All,Education,special education,0.0292,2.92%,1.89%,0.0189
origin,All,All,Education,skills assessment,0.0292,2.92%,1.44%,0.0144
origin,All,All,Education,help find school,0.0292,2.92%,3.41%,0.0341
origin,All,All,Education,specialized training,0.0292,2.92%,8.53%,0.0853
origin,All,All,Education,tutoring,0.0292,2.92%,3.19%,0.0319
origin,All,All,Education,education,0.0292,2.92%,2.03%,0.0203
origin,All,All,Education,computer class,0.0292,2.92%,4.89%,0.0489
origin,All,All,Education,basic literacy,0.0292,2.92%,1.29%,0.0129
origin,All,All,Money,government benefits,0.0977,9.77%,4.19%,0.0419
origin,All,All,Money,money,0.0977,9.77%,1.54%,0.0154
origin,All,All,Money,financial assistance,0.0977,9.77%,44.92%,0.4492
origin,All,All,Money,financial aid & loans,0.0977,9.77%,6.41%,0.0641
origin,All,All,Money,tax preparation,0.0977,9.77%,1.55%,0.0155
origin,All,All,Money,personal loans,0.0977,9.77%,4.78%,0.0478
origin,All,All,Money,help pay for car,0.0977,9.77%,11.63%,0.1163
origin,All,All,Money,understand government programs,0.0977,9.77%,2.62%,0.0262
origin,All,All,Money,help pay for work expenses,0.0977,9.77%,1.34%,0.0134
origin,All,All,Money,unemployment benefits,0.0977,9.77%,1.16%,0.0116
origin,All,All,Money,emergency payments,0.0977,9.77%,4.34%,0.0434
origin,All,All,Money,financial education,0.0977,9.77%,1.8%,0.018
origin,All,All,Money,help pay for childcare,0.0977,9.77%,3.18%,0.0318
origin,All,All,Money,help pay for school,0.0977,9.77%,2.92%,0.0292
origin,All,All,Transit,help pay for transit,0.0628,6.28%,9.01%,0.0901
origin,All,All,Transit,transportation,0.0628,6.28%,42.9%,0.429
origin,All,All,Transit,help pay for gas,0.0628,6.28%,11.99%,0.1199
origin,All,All,Transit,bus passes,0.0628,6.28%,8.89%,0.0889
origin,All,All,Transit,transit,0.0628,6.28%,1.08%,0.0108
origin,All,All,Transit,transportation for healthcare,0.0628,6.28%,21.49%,0.2149
origin,All,All,Care,adoption & foster care,0.0698,6.98%,1.17%,0.0117
origin,All,All,Care,navigating the system,0.0698,6.98%,6.4%,0.064
origin,All,All,Care,head start,0.0698,6.98%,2.36%,0.0236
origin,All,All,Care,recreation,0.0698,6.98%,1.47%,0.0147
origin,All,All,Care,peer support,0.0698,6.98%,1.25%,0.0125
origin,All,All,Care,physical safety,0.0698,6.98%,1.69%,0.0169
origin,All,All,Care,relief for caregivers,0.0698,6.98%,1.64%,0.0164
origin,All,All,Care,bereavement,0.0698,6.98%,4.08%,0.0408
origin,All,All,Care,preschool,0.0698,6.98%,1.68%,0.0168
origin,All,All,Care,care,0.0698,6.98%,2.63%,0.0263
origin,All,All,Care,adult daycare,0.0698,6.98%,2.53%,0.0253
origin,All,All,Care,case management,0.0698,6.98%,2.26%,0.0226
origin,All,All,Care,daytime care,0.0698,6.98%,2.41%,0.0241
origin,All,All,Care,childcare,0.0698,6.98%,2.6%,0.026
origin,All,All,Care,burial & funeral help,0.0698,6.98%,4.66%,0.0466
origin,All,All,Care,mentoring,0.0698,6.98%,1.62%,0.0162
origin,All,All,Care,support network,0.0698,6.98%,14.49%,0.1449
origin,All,All,Care,animal welfare,0.0698,6.98%,8.31%,0.0831
origin,All,All,Care,day camp,0.0698,6.98%,1.09%,0.0109
origin,All,All,Care,after school care,0.0698,6.98%,1.03%,0.0103
origin,All,All,Care,residential care,0.0698,6.98%,1.91%,0.0191
origin,All,All,Care,support groups,0.0698,6.98%,18.99%,0.1899
origin,All,All,Housing,long-term housing,0.2778,27.78%,2.77%,0.0277
origin,All,All,Housing,sober living,0.2778,27.78%,1.26%,0.0126
origin,All,All,Housing,housing,0.2778,27.78%,2.46%,0.0246
origin,All,All,Housing,help pay for internet or phone,0.2778,27.78%,3.39%,0.0339
origin,All,All,Housing,help find housing,0.2778,27.78%,10.38%,0.1038
origin,All,All,Housing,housing vouchers,0.2778,27.78%,4.75%,0.0475
origin,All,All,Housing,residential housing,0.2778,27.78%,2.39%,0.0239
origin,All,All,Housing,help pay for housing,0.2778,27.78%,25.5%,0.255
origin,All,All,Housing,public housing,0.2778,27.78%,1.01%,0.0101
origin,All,All,Housing,short-term housing,0.2778,27.78%,2.78%,0.0278
origin,All,All,Housing,maintenance & repairs,0.2778,27.78%,3.55%,0.0355
origin,All,All,Housing,help pay for utilities,0.2778,27.78%,17.29%,0.1729
origin,All,All,Housing,temporary shelter,0.2778,27.78%,11.18%,0.1118
origin,All,All,Health,help pay for healthcare,0.1043,10.43%,8.26%,0.0826
origin,All,All,Health,community support services,0.1043,10.43%,4.47%,0.0447
origin,All,All,Health,addiction & recovery,0.1043,10.43%,1.68%,0.0168
origin,All,All,Health,outpatient treatment,0.1043,10.43%,1.59%,0.0159
origin,All,All,Health,mental health care,0.1043,10.43%,5.11%,0.0511
origin,All,All,Health,dental care,0.1043,10.43%,6.84%,0.0684
origin,All,All,Health,prescription assistance,0.1043,10.43%,4.35%,0.0435
origin,All,All,Health,vision care,0.1043,10.43%,2.55%,0.0255
origin,All,All,Health,parenting education,0.1043,10.43%,1.54%,0.0154
origin,All,All,Health,health insurance,0.1043,10.43%,2.16%,0.0216
origin,All,All,Health,residential treatment,0.1043,10.43%,1.3%,0.013
origin,All,All,Health,in-home support,0.1043,10.43%,3.24%,0.0324
origin,All,All,Health,primary care,0.1043,10.43%,1.11%,0.0111
origin,All,All,Health,individual counseling,0.1043,10.43%,1.97%,0.0197
origin,All,All,Health,disability benefits,0.1043,10.43%,3.4%,0.034
origin,All,All,Health,medical care,0.1043,10.43%,5.6%,0.056
origin,All,All,Health,medical supplies,0.1043,10.43%,5.08%,0.0508
origin,All,All,Health,counseling,0.1043,10.43%,2.3%,0.023
origin,All,All,Health,health education,0.1043,10.43%,3.48%,0.0348
origin,All,All,Health,end-of-life care,0.1043,10.43%,2.13%,0.0213
origin,All,All,Health,health,0.1043,10.43%,1.79%,0.0179
origin,All,All,Health,exercise & fitness,0.1043,10.43%,1.4%,0.014
origin,All,All,Food,food,0.1724,17.24%,2.37%,0.0237
origin,All,All,Food,nutrition education,0.1724,17.24%,1.68%,0.0168
origin,All,All,Food,pantry,0.1724,17.24%,2.03%,0.0203
origin,All,All,Food,food pantry,0.1724,17.24%,55.98%,0.5598
origin,All,All,Food,community gardens,0.1724,17.24%,1.12%,0.0112
origin,All,All,Food,government food benefits,0.1724,17.24%,4.42%,0.0442
origin,All,All,Food,help pay for food,0.1724,17.24%,6.52%,0.0652
origin,All,All,Food,meals,0.1724,17.24%,6.52%,0.0652
origin,All,All,Food,food delivery,0.1724,17.24%,10.65%,0.1065
origin,All,All,Food,emergency food,0.1724,17.24%,7.18%,0.0718
origin,All,All,Other,single parent,0.0962,9.62%,1.19%,0.0119
origin,All,All,Other,"care, education, food, goods, health, housing, legal, money, transit, work",0.0962,9.62%,1.67%,0.0167
