parent,state_code,state,category,term,state_category_percentage,state_category_percentage_label,state_term_percentage,state_term_percentage_label
origin,All,All,Care,538 other terms,,,0.5298,52.980000000000004%
origin,All,All,Care,animal welfare,,,0.0812,8.12%
origin,All,All,Care,navigating the system,,,0.0625,6.25%
origin,All,All,Care,support groups,,,0.1855,18.55%
origin,All,All,Care,support network,,,0.1411,14.11%
origin,All,All,Education,159 other terms,,,0.2637,26.369999999999997%
origin,All,All,Education,english as a second language (esl),,,0.1954,19.54%
origin,All,All,Education,ged/high-school equivalency,,,0.0678,6.78%
origin,All,All,Education,more education,,,0.1596,15.959999999999999%
origin,All,All,Education,skills & training,,,0.1357,13.569999999999999%
origin,All,All,Education,specialized training,,,0.0854,8.5400000000000009%
origin,All,All,Education,supported employment,,,0.0923,9.2299999999999986%
origin,All,All,Food,245 other terms,,,0.1254,12.540000000000001%
origin,All,All,Food,emergency food,,,0.0685,6.8500000000000005%
origin,All,All,Food,food delivery,,,0.1015,10.15%
origin,All,All,Food,food pantry,,,0.5799,57.989999999999995%
origin,All,All,Food,help pay for food,,,0.0624,6.2399999999999993%
origin,All,All,Food,meals,,,0.0623,6.23%
origin,All,All,Goods,560 other terms,,,0.346,34.599999999999994%
origin,All,All,Goods,baby supplies,,,0.0827,8.27%
origin,All,All,Goods,clothing,,,0.2368,23.68%
origin,All,All,Goods,diapers & formula,,,0.1069,10.69%
origin,All,All,Goods,furniture,,,0.1092,10.92%
origin,All,All,Goods,toys & gifts,,,0.1184,11.84%
origin,All,All,Health,1774 other terms,,,0.6918,69.179999999999993%
origin,All,All,Health,dental care,,,0.0684,6.84%
origin,All,All,Health,help pay for healthcare,,,0.0824,8.24%
origin,All,All,Health,medical care,,,0.0558,5.58%
origin,All,All,Health,medical supplies,,,0.0507,5.07%
origin,All,All,Health,mental health care,,,0.051,5.1%
origin,All,All,Housing,1120 other terms,,,0.357,35.699999999999996%
origin,All,All,Housing,help find housing,,,0.1039,10.39%
origin,All,All,Housing,help pay for housing,,,0.2547,25.47%
origin,All,All,Housing,help pay for utilities,,,0.1725,17.25%
origin,All,All,Housing,temporary shelter,,,0.1119,11.19%
origin,All,All,Legal,234 other terms,,,0.3293,32.93%
origin,All,All,Legal,advocacy & legal aid,,,0.3089,30.89%
origin,All,All,Legal,citizenship & immigration,,,0.1694,16.939999999999998%
origin,All,All,Legal,representation,,,0.1925,19.25%
origin,All,All,Money,297 other terms,,,0.3712,37.12%
origin,All,All,Money,financial aid & loans,,,0.0642,6.419999999999999%
origin,All,All,Money,financial assistance,,,0.4486,44.86%
origin,All,All,Money,help pay for car,,,0.1161,11.61%
origin,All,All,Other,108310 other terms,,,0.944,94.399999999999991%
origin,All,All,Other,single parent,,,0.056,5.6000000000000005%
origin,All,All,Transit,188 other terms,,,0.0571,5.71%
origin,All,All,Transit,bus passes,,,0.089,8.9%
origin,All,All,Transit,help pay for gas,,,0.1199,11.99%
origin,All,All,Transit,help pay for transit,,,0.0904,9.04%
origin,All,All,Transit,transportation,,,0.4288,42.88%
origin,All,All,Transit,transportation for healthcare,,,0.2148,21.48%
origin,All,All,Work,75 other terms,,,0.1541,15.409999999999998%
origin,All,All,Work,help find work,,,0.3531,35.31%
origin,All,All,Work,job placement,,,0.4928,49.28%
"",All,All,origin,origin,0,"",0,""
origin,AK,Alaska,Care,71 other terms,0.179,17.9%,0.2328,23.28%
origin,AK,Alaska,Care,navigating the system,0.179,17.9%,0.1999,19.99%
origin,AK,Alaska,Care,support groups,0.179,17.9%,0.0856,8.5599999999999987%
origin,AK,Alaska,Care,support network,0.179,17.9%,0.4817,48.17%
origin,AK,Alaska,Education,22 other terms,0.0659,6.59%,0.1405,14.05%
origin,AK,Alaska,Education,more education,0.0659,6.59%,0.5895,58.95%
origin,AK,Alaska,Education,skills & training,0.0659,6.59%,0.27,27%
origin,AK,Alaska,Food,12 other terms,0.1027,10.27%,0.0131,1.31%
origin,AK,Alaska,Food,emergency food,0.1027,10.27%,0.253,25.3%
origin,AK,Alaska,Food,food delivery,0.1027,10.27%,0.0905,9.0499999999999989%
origin,AK,Alaska,Food,food pantry,0.1027,10.27%,0.3773,37.730000000000004%
origin,AK,Alaska,Food,government food benefits,0.1027,10.27%,0.0592,5.92%
origin,AK,Alaska,Food,help pay for food,0.1027,10.27%,0.0988,9.879999999999999%
origin,AK,Alaska,Food,meals,0.1027,10.27%,0.0516,5.16%
origin,AK,Alaska,Food,nutrition education,0.1027,10.27%,0.0565,5.65%
origin,AK,Alaska,Goods,37 other terms,0.0411,4.1099999999999994%,0.1878,18.78%
origin,AK,Alaska,Goods,baby supplies,0.0411,4.1099999999999994%,0.077,7.7%
origin,AK,Alaska,Goods,clothing,0.0411,4.1099999999999994%,0.2224,22.24%
origin,AK,Alaska,Goods,clothing vouchers,0.0411,4.1099999999999994%,0.0558,5.58%
origin,AK,Alaska,Goods,diapers & formula,0.0411,4.1099999999999994%,0.0652,6.52%
origin,AK,Alaska,Goods,furniture,0.0411,4.1099999999999994%,0.0659,6.59%
origin,AK,Alaska,Goods,home goods,0.0411,4.1099999999999994%,0.1261,12.61%
origin,AK,Alaska,Goods,toys & gifts,0.0411,4.1099999999999994%,0.1999,19.99%
origin,AK,Alaska,Health,149 other terms,0.2051,20.51%,0.198,19.8%
origin,AK,Alaska,Health,community support services,0.2051,20.51%,0.067,6.7%
origin,AK,Alaska,Health,end-of-life care,0.2051,20.51%,0.0745,7.4499999999999993%
origin,AK,Alaska,Health,health education,0.2051,20.51%,0.128,12.8%
origin,AK,Alaska,Health,help pay for healthcare,0.2051,20.51%,0.1696,16.96%
origin,AK,Alaska,Health,medical care,0.2051,20.51%,0.1838,18.38%
origin,AK,Alaska,Health,medical supplies,0.2051,20.51%,0.0693,6.93%
origin,AK,Alaska,Health,mental health care,0.2051,20.51%,0.1097,10.97%
origin,AK,Alaska,Housing,84 other terms,0.1158,11.58%,0.3473,34.73%
origin,AK,Alaska,Housing,help find housing,0.1158,11.58%,0.0862,8.62%
origin,AK,Alaska,Housing,help pay for housing,0.1158,11.58%,0.3081,30.81%
origin,AK,Alaska,Housing,help pay for utilities,0.1158,11.58%,0.0742,7.42%
origin,AK,Alaska,Housing,maintenance & repairs,0.1158,11.58%,0.0804,8.04%
origin,AK,Alaska,Housing,temporary shelter,0.1158,11.58%,0.1039,10.39%
origin,AK,Alaska,Legal,16 other terms,0.0252,2.52%,0.1337,13.370000000000001%
origin,AK,Alaska,Legal,advocacy & legal aid,0.0252,2.52%,0.6357,63.570000000000007%
origin,AK,Alaska,Legal,representation,0.0252,2.52%,0.0745,7.4499999999999993%
origin,AK,Alaska,Legal,translation & interpretation,0.0252,2.52%,0.1039,10.39%
origin,AK,Alaska,Legal,workplace rights,0.0252,2.52%,0.0523,5.2299999999999995%
origin,AK,Alaska,Money,43 other terms,0.146,14.6%,0.1594,15.939999999999998%
origin,AK,Alaska,Money,financial assistance,0.146,14.6%,0.5789,57.89%
origin,AK,Alaska,Money,financial education,0.146,14.6%,0.0553,5.53%
origin,AK,Alaska,Money,government benefits,0.146,14.6%,0.0834,8.34%
origin,AK,Alaska,Money,help pay for car,0.146,14.6%,0.052,5.2%
origin,AK,Alaska,Money,help pay for school,0.146,14.6%,0.071,7.1%
origin,AK,Alaska,Other,263 other terms,0.0074,0.74%,0.9241,92.41%
origin,AK,Alaska,Other,homeless,0.0074,0.74%,0.0759,7.59%
origin,AK,Alaska,Transit,21 other terms,0.1038,10.38%,0.0925,9.25%
origin,AK,Alaska,Transit,help pay for transit,0.1038,10.38%,0.1052,10.52%
origin,AK,Alaska,Transit,transportation,0.1038,10.38%,0.7453,74.53%
origin,AK,Alaska,Transit,transportation for healthcare,0.1038,10.38%,0.057,5.7%
origin,AK,Alaska,Work,7 other terms,0.0078,0.77999999999999992%,0.0494,4.9399999999999995%
origin,AK,Alaska,Work,help find work,0.0078,0.77999999999999992%,0.6714,67.14%
origin,AK,Alaska,Work,job placement,0.0078,0.77999999999999992%,0.2792,27.92%
"",AK,Alaska,origin,origin,0,"",0,""
origin,AL,Alabama,Care,189 other terms,0.0738,7.3800000000000008%,0.3899,38.99%
origin,AL,Alabama,Care,animal welfare,0.0738,7.3800000000000008%,0.0595,5.9499999999999993%
origin,AL,Alabama,Care,burial & funeral help,0.0738,7.3800000000000008%,0.0574,5.74%
origin,AL,Alabama,Care,navigating the system,0.0738,7.3800000000000008%,0.0917,9.17%
origin,AL,Alabama,Care,support groups,0.0738,7.3800000000000008%,0.1876,18.759999999999998%
origin,AL,Alabama,Care,support network,0.0738,7.3800000000000008%,0.214,21.4%
origin,AL,Alabama,Education,43 other terms,0.0227,2.27%,0.3277,32.769999999999996%
origin,AL,Alabama,Education,more education,0.0227,2.27%,0.3138,31.380000000000003%
origin,AL,Alabama,Education,skills & training,0.0227,2.27%,0.203,20.3%
origin,AL,Alabama,Education,specialized training,0.0227,2.27%,0.0626,6.2600000000000007%
origin,AL,Alabama,Education,supported employment,0.0227,2.27%,0.0929,9.29%
origin,AL,Alabama,Food,78 other terms,0.1924,19.24%,0.1053,10.530000000000001%
origin,AL,Alabama,Food,emergency food,0.1924,19.24%,0.0622,6.22%
origin,AL,Alabama,Food,food delivery,0.1924,19.24%,0.1119,11.19%
origin,AL,Alabama,Food,food pantry,0.1924,19.24%,0.5817,58.17%
origin,AL,Alabama,Food,help pay for food,0.1924,19.24%,0.0777,7.7700000000000005%
origin,AL,Alabama,Food,meals,0.1924,19.24%,0.0612,6.12%
origin,AL,Alabama,Goods,204 other terms,0.0462,4.62%,0.35,35%
origin,AL,Alabama,Goods,baby supplies,0.0462,4.62%,0.0701,7.01%
origin,AL,Alabama,Goods,clothing,0.0462,4.62%,0.2567,25.669999999999998%
origin,AL,Alabama,Goods,diapers & formula,0.0462,4.62%,0.0698,6.98%
origin,AL,Alabama,Goods,furniture,0.0462,4.62%,0.0915,9.15%
origin,AL,Alabama,Goods,home goods,0.0462,4.62%,0.0717,7.17%
origin,AL,Alabama,Goods,toys & gifts,0.0462,4.62%,0.0902,9.02%
origin,AL,Alabama,Health,598 other terms,0.1177,11.77%,0.5561,55.610000000000007%
origin,AL,Alabama,Health,dental care,0.1177,11.77%,0.0572,5.72%
origin,AL,Alabama,Health,help pay for healthcare,0.1177,11.77%,0.1373,13.73%
origin,AL,Alabama,Health,medical care,0.1177,11.77%,0.0703,7.03%
origin,AL,Alabama,Health,medical supplies,0.1177,11.77%,0.0649,6.49%
origin,AL,Alabama,Health,mental health care,0.1177,11.77%,0.0507,5.07%
origin,AL,Alabama,Health,prescription assistance,0.1177,11.77%,0.0635,6.35%
origin,AL,Alabama,Housing,438 other terms,0.3111,31.11%,0.3086,30.86%
origin,AL,Alabama,Housing,help find housing,0.3111,31.11%,0.0706,7.06%
origin,AL,Alabama,Housing,help pay for housing,0.3111,31.11%,0.2162,21.62%
origin,AL,Alabama,Housing,help pay for utilities,0.3111,31.11%,0.2908,29.080000000000002%
origin,AL,Alabama,Housing,maintenance & repairs,0.3111,31.11%,0.0572,5.72%
origin,AL,Alabama,Housing,temporary shelter,0.3111,31.11%,0.0566,5.66%
origin,AL,Alabama,Legal,55 other terms,0.0124,1.24%,0.2173,21.73%
origin,AL,Alabama,Legal,advocacy & legal aid,0.0124,1.24%,0.4489,44.89%
origin,AL,Alabama,Legal,citizenship & immigration,0.0124,1.24%,0.0936,9.36%
origin,AL,Alabama,Legal,representation,0.0124,1.24%,0.1787,17.87%
origin,AL,Alabama,Legal,translation & interpretation,0.0124,1.24%,0.0615,6.15%
origin,AL,Alabama,Money,124 other terms,0.1186,11.86%,0.333,33.300000000000004%
origin,AL,Alabama,Money,financial aid & loans,0.1186,11.86%,0.0552,5.52%
origin,AL,Alabama,Money,financial assistance,0.1186,11.86%,0.5228,52.28%
origin,AL,Alabama,Money,help pay for car,0.1186,11.86%,0.0889,8.89%
origin,AL,Alabama,Other,2609 other terms,0.0158,1.58%,1,100%
